,state,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,has_availability,availability_365,number_of_reviews,review_scores_rating,review_scores_checkin,review_scores_communication,review_scores_location,instant_bookable,reviews_per_month,essentials,other_amenities,annual_revenue,host_experience,match_group,match_group_size,weights
255,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,3769.2,1,419.0,4.0,1.0
258,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,898.56,1,537.0,3.0,2.1538461538461537
264,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,434.88,1,494.0,2.0,1.0
266,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,7539.839999999999,1,855.0,3.0,0.5384615384615384
267,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,6574.32,1,446.0,6.0,0.2153846153846154
271,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,78227.64,1,556.0,2.0,1.0
279,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,3051.6,1,517.0,3.0,0.5384615384615384
280,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,11526.6,1,519.0,2.0,1.0
282,0,0,1,0,1,1,1,1,2,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,5856.0,1,764.0,2.0,1.0
286,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2764.8,1,511.0,4.0,1.0
290,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,735.0,1,319.0,5.0,1.0
291,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,284.4,1,246.0,2.0,1.0
296,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,12608.88,1,417.0,15.0,1.0
298,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,4649.4,1,750.0,5.0,1.0
299,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,856.8,1,323.0,4.0,1.0
312,0,0,1,0,1,1,1,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,486.72,1,629.0,5.0,1.0
313,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,9252.0,1,438.0,4.0,1.0
322,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1692.0,1,335.0,3.0,2.1538461538461537
327,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,196.2,1,685.0,2.0,1.0769230769230769
329,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2881.2,1,258.0,8.0,1.0
335,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,99082.8,1,237.0,2.0,1.0
347,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1815.0,1,335.0,3.0,1.0
348,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14390.28,1,703.0,3.0,1.0
353,0,2,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,6129.0,1,790.0,2.0,1.0769230769230769
363,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1080.6,1,214.0,3.0,1.0
364,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,3600.0,1,535.0,2.0,1.0
365,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,856.6800000000001,1,211.0,3.0,0.5384615384615384
366,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,14919.84,1,684.0,3.0,1.0
369,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,11823.0,1,443.0,6.0,1.0
372,0,3,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,105.0,1,584.0,5.0,1.0
374,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2859.36,1,259.0,5.0,1.6153846153846154
380,0,0,1,0,0,0,1,1,2,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1014.0,1,906.0,4.0,1.0769230769230769
382,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,10220.64,1,462.0,2.0,1.0769230769230769
384,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,3460.8,1,440.0,7.0,1.4358974358974357
386,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1080.0,1,334.0,4.0,3.230769230769231
387,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,132.0,1,199.0,3.0,0.5384615384615384
390,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,26077.68,1,418.0,10.0,1.0
391,0,0,1,0,1,1,1,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1278.96,1,761.0,2.0,1.0
402,0,2,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,4478.4,1,786.0,3.0,0.5384615384615384
407,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2268.4800000000005,1,494.0,2.0,1.0769230769230769
418,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2651.4,1,647.0,3.0,2.1538461538461537
421,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1507.44,1,805.0,2.0,1.0
438,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,8955.96,1,705.0,3.0,0.5384615384615384
441,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,840.36,1,505.0,5.0,0.7179487179487178
442,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,4872.0,1,515.0,2.0,1.0769230769230769
444,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1052.52,1,532.0,2.0,1.0769230769230769
445,0,0,1,0,0,1,1,1,2,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,2427.6,1,651.0,4.0,3.230769230769231
446,0,0,1,1,1,1,1,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,624.96,1,627.0,2.0,1.0
457,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,55599.00000000001,1,353.0,2.0,1.0
462,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,2917.32,1,196.0,2.0,1.0769230769230769
464,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,240.0,1,546.0,2.0,1.0
466,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2183.52,1,516.0,3.0,0.5384615384615384
467,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,3762.0,1,297.0,2.0,1.0769230769230769
470,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,3473.16,1,350.0,2.0,1.0769230769230769
474,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,5365.2,1,418.0,10.0,1.0
475,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,4499.52,1,696.0,2.0,1.0769230769230769
476,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,13141.2,1,440.0,7.0,1.4358974358974357
478,0,2,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,4440.0,1,562.0,3.0,1.0
479,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,11377.08,1,314.0,3.0,0.5384615384615384
480,0,2,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,307.8,1,581.0,2.0,1.0
484,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1239.84,1,737.0,3.0,0.5384615384615384
485,0,2,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,259.2,1,785.0,2.0,1.0769230769230769
486,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2790.0,1,518.0,2.0,1.0769230769230769
494,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,8546.039999999999,1,842.0,3.0,0.5384615384615384
496,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,14802.48,1,450.0,3.0,1.0
497,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,163.2,1,691.0,2.0,1.0769230769230769
510,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,2088.0,1,779.0,2.0,1.0769230769230769
512,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,2213.64,1,533.0,4.0,1.0769230769230769
513,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,518.4000000000001,1,317.0,8.0,1.0
521,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,7264.679999999999,1,340.0,4.0,0.3589743589743589
522,0,2,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,10712.52,1,572.0,5.0,1.0
524,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,5580.0,1,372.0,2.0,1.0769230769230769
529,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,9119.88,1,395.0,4.0,0.3589743589743589
530,0,2,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,5549.88,1,572.0,5.0,0.2692307692307692
540,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,18269.16,1,270.0,9.0,1.0
543,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2700.0,1,232.0,2.0,1.0769230769230769
545,0,1,1,0,1,0,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,331.2,1,663.0,2.0,1.0
553,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,2939.64,1,261.0,2.0,1.0
558,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,288.0,1,852.0,2.0,1.0
562,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,3207.6000000000004,1,212.0,4.0,0.3589743589743589
563,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,2610.0,1,336.0,4.0,1.0
569,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,860.1600000000001,1,331.0,7.0,1.0
572,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,6832.68,1,236.0,3.0,1.0
573,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,7435.92,1,237.0,2.0,1.0769230769230769
574,0,2,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,341.04,1,567.0,3.0,1.0
578,0,0,1,0,1,1,1,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,341.28,1,629.0,5.0,1.0
585,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,300.0,1,806.0,2.0,1.0769230769230769
586,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,593.28,1,217.0,2.0,1.0769230769230769
590,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1814.4,1,749.0,2.0,1.0
604,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,9616.68,1,442.0,9.0,1.0
615,0,0,1,1,1,1,1,1,2,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,134.4,1,896.0,3.0,1.0
616,0,2,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,459.0,1,949.0,2.0,1.0
627,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,72.6,1,506.0,6.0,1.0769230769230769
630,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,18490.56,1,269.0,4.0,0.3589743589743589
632,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,20228.52,1,420.0,7.0,1.0
637,0,0,1,0,0,1,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,10681.8,1,760.0,3.0,2.1538461538461537
640,0,2,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2550.0,1,788.0,2.0,1.0769230769230769
646,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,20985.36,1,512.0,3.0,1.0
647,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,53538.96000000001,1,254.0,5.0,0.2692307692307692
656,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,7524.0,1,329.0,7.0,0.4307692307692308
659,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1227.48,1,871.0,2.0,1.0769230769230769
660,0,2,0,0,1,0,1,1,2,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,2473.8,1,674.0,2.0,1.0
662,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,558.5999999999999,1,340.0,4.0,0.3589743589743589
667,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,4590.0,1,359.0,3.0,0.5384615384615384
669,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,10546.8,1,511.0,4.0,1.0
675,0,2,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,84.96000000000001,1,568.0,2.0,1.0769230769230769
677,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,8933.4,1,424.0,4.0,0.3589743589743589
684,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,302.40000000000003,1,685.0,2.0,1.0
686,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,3861.0,1,303.0,2.0,1.0
687,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,617.76,1,775.0,2.0,1.0
695,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,8991.0,1,440.0,7.0,1.0
704,0,0,1,0,1,1,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1494.0,1,634.0,3.0,1.0
705,0,2,1,0,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,345.0,1,950.0,2.0,1.0769230769230769
709,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,453.84,1,282.0,3.0,1.0
712,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,456.0,1,926.0,2.0,1.0769230769230769
714,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,4313.4,1,819.0,2.0,1.0769230769230769
726,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,410.4,1,321.0,4.0,1.0
735,1,0,1,0,0,1,1,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1294.92,1,643.0,2.0,1.0769230769230769
738,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,662.4,1,306.0,2.0,1.0769230769230769
739,0,0,1,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1500.0,1,641.0,5.0,0.7179487179487178
741,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,534.24,1,282.0,3.0,0.5384615384615384
744,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1794.0,1,323.0,4.0,1.0
753,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,2448.0,1,697.0,2.0,1.0769230769230769
755,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,219.12,1,527.0,2.0,1.0769230769230769
761,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,12059.280000000002,1,355.0,2.0,1.0769230769230769
762,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,2346.24,1,919.0,2.0,1.0769230769230769
764,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,3600.0,1,311.0,3.0,0.5384615384615384
766,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,133.44,1,740.0,2.0,1.0769230769230769
768,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1075.2,1,881.0,4.0,1.0
771,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,8795.4,1,427.0,5.0,1.0
779,0,2,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,3112.2000000000003,1,565.0,3.0,1.0
780,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,19866.0,1,389.0,4.0,1.0
783,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,5244.0,1,376.0,2.0,1.0769230769230769
785,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,5518.799999999999,1,388.0,5.0,1.0
795,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,540.0,1,545.0,2.0,1.0769230769230769
798,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,6354.0,1,259.0,5.0,1.0
799,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,513.6,1,926.0,2.0,1.0
800,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,298.92,1,882.0,3.0,2.1538461538461537
